launcher,rocket,frame,seconds
18,5,76,3.125
18,6,82,3.375
18,7,88,3.625
18,8,94,3.875
18,9,100,4.125
18,10,106,4.375
18,11,112,4.625
18,12,118,4.875
18,13,124,5.125
18,14,130,5.375
18,15,136,5.625
18,16,142,5.875
18,17,148,6.125
18,18,154,6.375
18,19,160,6.625
18,20,166,6.875
18,21,172,7.125
18,22,178,7.375
18,23,184,7.625
18,24,190,7.875
19,1,53,2.1666666666666665
19,2,59,2.4166666666666665
19,3,65,2.6666666666666665
19,4,71,2.9166666666666665
19,5,77,3.1666666666666665
19,6,83,3.4166666666666665
19,7,89,3.6666666666666665
19,8,95,3.9166666666666665
19,9,101,4.166666666666667
19,10,107,4.416666666666667
19,11,113,4.666666666666667
19,12,119,4.916666666666667
19,13,125,5.166666666666667
19,14,131,5.416666666666667
19,15,137,5.666666666666667
19,16,143,5.916666666666667
19,17,149,6.166666666666667
19,18,155,6.416666666666667
19,19,161,6.666666666666667
19,20,167,6.916666666666667
19,21,173,7.166666666666667
19,22,179,7.416666666666667
19,23,185,7.666666666666667
19,24,191,7.916666666666667
20,1,54,2.2083333333333335
20,2,60,2.4583333333333335
20,3,66,2.7083333333333335
20,4,72,2.9583333333333335
20,5,78,3.2083333333333335
20,6,84,3.4583333333333335
20,7,90,3.7083333333333335
20,8,96,3.9583333333333335
20,9,102,4.208333333333333
20,10,108,4.458333333333333
20,11,114,4.708333333333333
20,12,120,4.958333333333333
20,13,126,5.208333333333333
20,14,132,5.458333333333333
20,15,138,5.708333333333333
20,16,144,5.958333333333333
20,17,150,6.208333333333333
20,18,156,6.458333333333333
20,19,162,6.708333333333333
20,20,168,6.958333333333333
20,21,174,7.208333333333333
20,22,180,7.458333333333333
20,23,186,7.708333333333333
20,24,192,7.958333333333333
21,1,53,2.1666666666666665
21,2,59,2.4166666666666665
21,3,65,2.6666666666666665
21,4,71,2.9166666666666665
21,5,77,3.1666666666666665
21,6,83,3.4166666666666665
21,7,89,3.6666666666666665
21,8,95,3.9166666666666665
21,9,101,4.166666666666667
21,10,107,4.416666666666667
21,11,113,4.666666666666667
21,12,119,4.916666666666667
21,13,125,5.166666666666667
21,14,131,5.416666666666667
21,15,137,5.666666666666667
21,16,143,5.916666666666667
21,17,149,6.166666666666667
21,18,155,6.416666666666667
21,19,161,6.666666666666667
21,20,167,6.916666666666667
21,21,173,7.166666666666667
21,22,179,7.416666666666667
21,23,185,7.666666666666667
21,24,191,7.916666666666667
22,1,54,2.2083333333333335
22,2,60,2.4583333333333335
22,3,66,2.7083333333333335
22,4,72,2.9583333333333335
22,5,78,3.2083333333333335
22,6,84,3.4583333333333335
22,7,90,3.7083333333333335
22,8,96,3.9583333333333335
22,9,102,4.208333333333333
22,10,108,4.458333333333333
22,11,114,4.708333333333333
22,12,120,4.958333333333333
22,13,126,5.208333333333333
22,14,132,5.458333333333333
22,15,138,5.708333333333333
22,16,144,5.958333333333333
22,17,150,6.208333333333333
22,18,156,6.458333333333333
22,19,162,6.708333333333333
22,20,168,6.958333333333333
22,21,174,7.208333333333333
22,22,180,7.458333333333333
22,23,186,7.708333333333333
22,24,192,7.958333333333333
23,1,54,2.2083333333333335
23,2,60,2.4583333333333335
23,3,66,2.7083333333333335
23,4,72,2.9583333333333335
23,5,78,3.2083333333333335
23,6,84,3.4583333333333335
23,7,90,3.7083333333333335
23,8,96,3.9583333333333335
23,9,102,4.208333333333333
23,10,108,4.458333333333333
23,11,114,4.708333333333333
23,12,120,4.958333333333333
23,13,126,5.208333333333333
23,14,132,5.458333333333333
23,15,138,5.708333333333333
23,16,144,5.958333333333333
23,17,150,6.208333333333333
23,18,156,6.458333333333333
23,19,162,6.708333333333333
23,20,168,6.958333333333333
23,21,174,7.208333333333333
23,22,180,7.458333333333333
23,23,186,7.708333333333333
23,24,192,7.958333333333333
24,1,55,2.25
24,2,61,2.5
24,3,67,2.75
24,4,73,3.0
24,5,79,3.25
24,6,85,3.5
24,7,91,3.75
24,8,97,4.0
24,9,103,4.25
24,10,109,4.5
24,11,115,4.75
24,12,121,5.0
24,13,127,5.25
24,14,133,5.5
24,15,139,5.75
24,16,145,6.0
24,17,151,6.25
24,18,157,6.5
24,19,163,6.75
24,20,169,7.0
24,21,175,7.25
24,22,181,7.5
24,23,187,7.75
24,24,193,8.0
25,1,53,2.1666666666666665
25,2,59,2.4166666666666665
25,3,65,2.6666666666666665
25,4,71,2.9166666666666665
25,5,77,3.1666666666666665
25,6,83,3.4166666666666665
25,7,89,3.6666666666666665
25,8,95,3.9166666666666665
25,9,101,4.166666666666667
25,10,107,4.416666666666667
25,11,113,4.666666666666667
25,12,119,4.916666666666667
25,13,125,5.166666666666667
25,14,131,5.416666666666667
25,15,137,5.666666666666667
25,16,143,5.916666666666667
25,17,149,6.166666666666667
25,18,155,6.416666666666667
25,19,161,6.666666666666667
25,20,167,6.916666666666667
25,21,173,7.166666666666667
25,22,179,7.416666666666667
25,23,185,7.666666666666667
25,24,191,7.916666666666667
26,1,53,2.1666666666666665
26,2,59,2.4166666666666665
26,3,65,2.6666666666666665
26,4,71,2.9166666666666665
26,5,77,3.1666666666666665
26,6,83,3.4166666666666665
26,7,89,3.6666666666666665
26,8,95,3.9166666666666665
26,9,101,4.166666666666667
26,10,107,4.416666666666667
26,11,113,4.666666666666667
26,12,119,4.916666666666667
26,13,125,5.166666666666667
26,14,131,5.416666666666667
26,15,137,5.666666666666667
26,16,143,5.916666666666667
26,17,149,6.166666666666667
26,18,155,6.416666666666667
26,19,161,6.666666666666667
26,20,167,6.916666666666667
26,21,173,7.166666666666667
26,22,179,7.416666666666667
26,23,185,7.666666666666667
26,24,191,7.916666666666667
27,1,53,2.1666666666666665
27,2,59,2.4166666666666665
27,3,65,2.6666666666666665
27,4,71,2.9166666666666665
27,5,77,3.1666666666666665
27,6,83,3.4166666666666665
27,7,89,3.6666666666666665
27,8,95,3.9166666666666665
27,9,101,4.166666666666667
27,10,107,4.416666666666667
27,11,113,4.666666666666667
27,12,119,4.916666666666667
27,13,125,5.166666666666667
27,14,131,5.416666666666667
27,15,137,5.666666666666667
27,16,143,5.916666666666667
27,17,149,6.166666666666667
27,18,155,6.416666666666667
27,19,161,6.666666666666667
27,20,167,6.916666666666667
27,21,173,7.166666666666667
27,22,179,7.416666666666667
27,23,185,7.666666666666667
27,24,191,7.916666666666667
28,1,53,2.1666666666666665
28,2,59,2.4166666666666665
28,3,65,2.6666666666666665
28,4,71,2.9166666666666665
28,5,77,3.1666666666666665
28,6,83,3.4166666666666665
28,7,89,3.6666666666666665
28,8,95,3.9166666666666665
28,9,101,4.166666666666667
28,10,107,4.416666666666667
28,11,113,4.666666666666667
28,12,119,4.916666666666667
